"","county_id","unemployment_rate","hs_graduation_rate","average_age","state","county","population","male_proportion","female_proportion","white_proportion","black_proportion","american_indian_proportion","asian_proportion","hawaiian_pacific_proportion","interracial_proportion","no_hispanic_proportion","hispanic_proportion","state_legislature","syringe_exchange","num_exchange","immunity_for_possession_of_naloxone_no_script","prescriber_immunity_criminal","poverty_rate"
"20","05000US48215",0.108,0.842,28.8,"Texas","Hidalgo County",850187,48.92805936,51.07194064,97.06346957,0.83581612,0.520826595,1.085643511,0.042343626,0.451900582,8.001063295,91.9989367,"Republican","No",0,"Yes","Yes",0.325933000622216
"21","05000US12011",0.061,0.76,40,"Florida","Broward County",1917122,48.71447931,51.28552069,63.87131335,29.64365335,0.381770174,3.800279794,0.113816439,2.189166887,71.00648785,28.99351215,"Republican","Yes",2,"No","Yes",0.138687052780157
"22","05000US06067",0.088,0.824,35.5,"California","Sacramento County",1513260,48.85948218,51.14051782,63.85716929,10.89039557,1.557894876,16.3097551,1.251206006,6.13357916,76.99925988,23.00074012,"Democrat","Yes",40,"No","Yes",0.173302010229571
"23","05000US06019",0.129,0.826,31.4,"California","Fresno County",979534,49.88075963,50.11924037,77.06154151,5.810518063,2.958549678,10.82882269,0.268495019,3.072073047,47.16702024,52.83297976,"Democrat","Yes",40,"No","Yes",0.257456096470362
"24","05000US39035",0.077,0.736,40.4,"Ohio","Cuyahoga County",1253454,47.65400246,52.34599754,63.92424453,30.48823491,0.257368838,3.160227659,0.044357432,2.125566634,94.243267,5.756732995,"Republican","Yes",7,"No","Yes",0.184947353472884
"25","05000US53033",0.052,0.805,37.2,"Washington","King County",2155962,50.05060386,49.94939614,68.73460664,6.741955563,1.030815942,17.62401193,0.860683073,5.007926856,90.42603719,9.573962806,"Split","Yes",20,"No","Yes",0.104920216590088
"26","05000US12057",0.07,0.73,36.6,"Florida","Hillsborough County",1381627,48.75223197,51.24776803,74.83126777,17.6896514,0.514827808,4.184703976,0.134479132,2.645069907,72.00901546,27.99098454,"Republican","Yes",2,"No","Yes",0.157556272423744
"27","05000US12095",0.068,0.74,34.4,"Florida","Orange County",1323598,49.10818844,50.89181156,68.24390789,22.72699113,0.563161927,5.618397731,0.195678748,2.651862575,69.15045203,30.84954797,"Republican","Yes",2,"No","Yes",0.1605389249606
"28","05000US39049",0.062,0.671,33.8,"Ohio","Franklin County",1269998,48.76228152,51.23771848,68.34286353,23.03279218,0.313780022,5.120480505,0.064094589,3.125989175,94.65156638,5.34843362,"Republican","Yes",7,"No","Yes",0.164112069467826
"29","05000US55079",0.083,0.748,34.2,"Wisconsin","Milwaukee County",955369,48.41249821,51.58750179,64.7637719,27.22246587,0.964548776,4.312993199,0.043752728,2.692467518,85.14280869,14.85719131,"Republican","Yes",15,"Yes","Yes",0.210519704951699
"30","05000US12099",0.073,0.77,44.1,"Florida","Palm Beach County",1453768,48.4307675,51.5692325,75.34448413,19.40123871,0.582830273,2.8146857,0.108889451,1.747871737,78.22197214,21.77802786,"Republican","Yes",2,"No","Yes",0.135743805063807
"31","05000US47157",0.097,0.758,34.9,"Tennessee","Shelby County",937130,47.62082102,52.37917898,41.40748882,54.0271894,0.331864309,2.647124732,0.083873102,1.502459637,93.76521934,6.23478066,"Republican","Yes",1,"No","No",0.209651809247383
"32","05000US06029",0.118,0.823,31.1,"California","Kern County",885086,51.26236321,48.73763679,82.63377796,6.189003103,2.613079407,5.246043887,0.269578323,3.048517319,47.16479529,52.83520471,"Democrat","Yes",40,"No","Yes",0.221158169940548
"33","05000US06001",0.074,0.805,37.1,"California","Alameda County",1653236,49.12347662,50.87652338,50.77520693,11.55654728,1.09476203,30.36039622,0.964956001,5.248131543,77.49788899,22.50211101,"Democrat","Yes",40,"No","Yes",0.117732132617485
"34","05000US18097",0.077,0.772,34.1,"Indiana","Marion County",944034,48.17781987,51.82218013,65.0708555,28.44696272,0.46131813,3.123192597,0.072878731,2.824792327,89.75153437,10.24846563,"Republican","Yes",7,"No","No",0.202650540128851
"35","05000US04019",0.07,0.728,38,"Arizona","Pima County",1012519,49.20184214,50.79815786,85.23474621,4.088614633,4.309746286,3.231544297,0.23485979,2.900488781,63.00879292,36.99120708,"Republican","Yes",6,"No","Yes",0.184934801223483
"36","05000US48141",0.088,0.844,31.6,"Texas","El Paso County",837147,49.13175344,50.86824656,92.0312681,3.949366121,1.018578577,1.330112871,0.216568894,1.454105432,17.5987013,82.4012987,"Republican","No",0,"Yes","Yes",0.221858287732023
"37","05000US48453",0.051,0.847,33,"Texas","Travis County",1204582,50.48257404,49.51742596,80.34023421,8.889473693,1.243584912,6.872176406,0.116139873,2.538390911,66.09944362,33.90055638,"Republican","No",0,"Yes","Yes",0.149612064600002
"38","05000US06085",0.068,0.865,36.8,"California","Santa Clara County",1931575,50.45535379,49.54464621,54.65985012,2.826294604,1.237953484,36.73525491,0.463041818,4.077605063,74.19903447,25.80096553,"Democrat","Yes",40,"No","Yes",0.0909568616284638
"39","05000US13121",0.086,0.643,34.8,"Georgia","Fulton County",1024248,48.43455882,51.56544118,45.98202779,44.61605002,0.297291281,7.007873093,0.044715733,2.052042084,92.66710797,7.332892034,"Republican","Yes",1,"No","Yes",0.163428193171966
"40","05000US42003",0.065,0.891,40.9,"Pennsylvania","Allegheny County",1227553,48.31050065,51.68949935,80.47448868,13.43746461,0.160563332,3.774745367,0.033644169,2.11909384,97.97222605,2.027773954,"Republican","Yes",2,"No","Yes",0.126979446101309
"41","05000US12031",0.074,0.68,36,"Florida","Duval County",926380,48.50881928,51.49118072,61.25013493,30.39141605,0.447872363,4.927135733,0.11906561,2.86437531,90.73706254,9.262937455,"Republican","Yes",2,"No","Yes",0.162775534877696
"42","05000US37119",0.08,0.761,34.5,"North Carolina","Mecklenburg County",1057237,48.07247571,51.92752429,58.1503485,32.64632244,0.790740392,5.98049444,0.101680134,2.330414089,86.93490674,13.06509326,"Republican","Yes",7,"No","Yes",0.1402958844611
"43","05000US25025",0.07,0.653,32.2,"Massachusetts","Suffolk County",791165,48.39938572,51.60061428,61.75525965,25.08162014,0.752055513,8.95944588,0.17569028,3.275928536,77.3770326,22.6229674,"Democrat","Yes",10,"Yes","No",0.187417289693048
"44","05000US27053",0.047,0.663,36.1,"Minnesota","Hennepin County",1237027,49.4504162,50.5495838,74.97015021,13.26575734,1.136919404,7.422715915,0.056668124,3.147789013,93.10572849,6.894271507,"Split","Yes",10,"No","Yes",0.118333714623852
"45","05000US39061",0.071,0.778,37,"Ohio","Hamilton County",810087,48.20408178,51.79591822,68.22847423,26.45296123,0.244788523,2.594412699,0.110728848,2.36863448,96.86922516,3.130774843,"Republican","Yes",7,"No","Yes",0.177484640538609
"46","05000US24510",0.096,0.66,34.6,"Maryland","Baltimore city",616958,46.95846395,53.04153605,31.37976977,63.29328739,0.445897452,2.745729855,0.077801082,2.05751445,94.86658735,5.133412647,"Democrat","Yes",1,"No","No",0.229600718363325
"47","05000US48061",0.101,0.872,31.2,"Texas","Cameron County",421766,48.54872133,51.45127867,97.21148694,0.799021258,0.629733075,0.774125937,0.067810113,0.517822679,10.48258987,89.51741013,"Republican","No",0,"Yes","Yes",0.33138754664909
"48","05000US41051",0.069,0.652,36.5,"Oregon","Multnomah County",801539,49.54256749,50.45743251,79.8395337,5.943815585,1.443847399,7.61809469,0.644260604,4.510448026,88.59556428,11.40443572,"Democrat","Yes",9,"No","No",0.170262457597197
"49","05000US13089",0.083,0.575,35.1,"Georgia","DeKalb County",746690,47.32794064,52.67205936,35.70558063,55.15501748,0.48119032,6.481002826,0.076738673,2.100470075,91.37433205,8.625667948,"Republican","Yes",1,"No","Yes",0.181426026865232
"50","05000US36029",0.074,0.802,40.4,"New York","Erie County",923116,48.39662621,51.60337379,79.74534078,13.91417763,0.728835813,3.628688052,0.047989635,1.934968086,94.66795072,5.332049277,"Split","Yes",23,"No","No",0.145935072081949
"51","05000US40109",0.054,0.721,34.2,"Oklahoma","Oklahoma County",784208,48.94874829,51.05125171,70.94546345,15.84962153,4.264939914,3.58412564,0.117188297,5.238661172,82.83911921,17.16088079,"Republican","No",0,"No","No",0.171353773488666
